,Unnamed: 0,dateTime,deviceId,uid,pressure,temperature,humidity,lat,long,pm1_0,pm2_5,pm10
1771,1771,2020-10-25 01:05:25+05:30,00000000078e6811,0a757156-f25b-4b98-b869-ec79f4b5158f,986.3975,24.03,53.736328,28.579695,77.232986,116.0,204.0,260.0
1775,1775,2020-10-25 01:05:28+05:30,00000000078e6811,67fdbfba-4273-4909-9ca3-5882f1335767,986.393516,24.04,53.748047,28.579594,77.232895,117.0,206.0,261.0
1778,1778,2020-10-25 01:05:31+05:30,00000000078e6811,3ac07018-ab78-42c1-af11-4d0ed74b6ece,986.371328,24.04,53.71582,28.579536,77.232857,119.0,207.0,268.0
1780,1780,2020-10-25 01:05:34+05:30,00000000078e6811,74e10b25-fa7e-4c98-9636-3960114466be,986.351875,24.03,53.71484399999999,28.579525,77.232834,121.0,208.0,272.0
1786,1786,2020-10-25 01:05:40+05:30,00000000078e6811,9f1c2ab6-98a9-4857-bbb0-cf892686fc8b,986.415625,24.06,53.6875,28.579496,77.23281899999998,117.0,206.0,251.0
1789,1789,2020-10-25 01:05:43+05:30,00000000078e6811,391c1cf6-9cf1-419a-9b7c-4c7f10adddde,986.418359,24.06,53.64453100000001,28.579496,77.232803,116.0,201.0,252.0
1792,1792,2020-10-25 01:05:46+05:30,00000000078e6811,3b756e78-4149-4c91-8da6-fa75af3012dd,986.391875,24.06,53.634766000000006,28.579485,77.232796,117.0,208.0,255.0
1795,1795,2020-10-25 01:05:49+05:30,00000000078e6811,3abb8343-f895-4be1-8ca8-91d689309e35,986.400313,24.07,53.63574200000001,28.579479,77.23278,118.0,213.0,263.0
1799,1799,2020-10-25 01:05:52+05:30,00000000078e6811,c56d4d50-ee04-42f7-9465-24e02ea3a5e4,986.389531,24.08,53.616211,28.579472,77.23278,119.0,216.0,277.0
1803,1803,2020-10-25 01:05:55+05:30,00000000078e6811,454c37be-5ed8-43c9-af5b-7ac26dc811e4,986.425156,24.08,53.583984,28.579468,77.232788,121.0,216.0,277.0
1807,1807,2020-10-25 01:05:58+05:30,00000000078e6811,d9b2b246-28ea-4e40-af32-5b7aa1b91f99,986.394844,24.08,53.57421899999999,28.579468,77.232796,121.0,215.0,273.0
1809,1809,2020-10-25 01:06:01+05:30,00000000078e6811,ae4612d6-a153-4d51-b8f9-8bc82055101d,986.389453,24.09,53.575195,28.579468,77.232803,115.0,209.0,275.0
1814,1814,2020-10-25 01:06:04+05:30,00000000078e6811,0248119a-617a-4a4a-87f4-a3c45183bf2e,986.374063,24.1,53.544922,28.579475,77.232811,121.0,220.0,273.0
1818,1818,2020-10-25 01:06:07+05:30,00000000078e6811,3df1f0e4-f91a-4c22-a74f-d95d58529df9,986.411562,24.11,53.53515600000001,28.579475,77.23281899999998,118.0,216.0,281.0
1820,1820,2020-10-25 01:06:10+05:30,00000000078e6811,14baa59e-7974-4818-85c0-5750683b9c9c,986.371406,24.11,53.524414,28.579475,77.232826,118.0,217.0,282.0
1822,1822,2020-10-25 01:06:13+05:30,00000000078e6811,2bc069bd-e2b3-45b7-ab77-f3bec44b6f99,986.425313,24.12,53.494141000000006,28.579479,77.232834,120.0,212.0,277.0
1825,1825,2020-10-25 01:06:16+05:30,00000000078e6811,2c640b8a-7365-4191-8da2-b4d42d891df7,986.334375,24.13,53.453125,28.579475,77.23284100000002,121.0,206.0,278.0
1828,1828,2020-10-25 01:06:19+05:30,00000000078e6811,c4e36256-bec9-4124-b5a4-fa873b6d1308,986.503906,24.13,53.43261700000001,28.579479,77.23284100000002,118.0,200.0,266.0
1829,1829,2020-10-25 01:06:22+05:30,00000000078e6811,87f4fccb-2fa8-4b2b-aba0-3f2fd873278b,986.219531,24.04,53.400391000000006,28.579479,77.232857,116.0,199.0,267.0
1832,1832,2020-10-25 01:06:25+05:30,00000000078e6811,64894da6-b46b-4ccc-b619-d3b8c5d9dfd5,986.335859,24.14,53.37011700000001,28.579479,77.232864,117.0,202.0,266.0
1834,1834,2020-10-25 01:06:28+05:30,00000000078e6811,64de3745-a8c3-4662-9a79-58e672d39ac0,986.42125,24.15,53.362305000000006,28.579479,77.232872,115.0,198.0,252.0
1837,1837,2020-10-25 01:06:31+05:30,00000000078e6811,ed967756-0092-46b2-9dcf-2ef131941c94,986.338438,24.15,53.362305000000006,28.579479,77.232872,116.0,198.0,251.0
1839,1839,2020-10-25 01:06:34+05:30,00000000078e6811,e6f5a3e2-7e2f-40aa-8648-c689170a059f,986.341094,24.16,53.351562,28.579472,77.232887,115.0,204.0,257.0
1842,1842,2020-10-25 01:06:37+05:30,00000000078e6811,68f3f067-dab0-4b10-a9cf-d63b735f9a36,986.377109,24.17,53.321289,28.579468,77.232887,116.0,206.0,261.0
1845,1845,2020-10-25 01:06:40+05:30,00000000078e6811,f33c1193-88fd-4626-bd3f-911553cf8ccc,986.32875,24.18,53.33300799999999,28.579468,77.232895,117.0,208.0,264.0
1846,1846,2020-10-25 01:06:43+05:30,00000000078e6811,18340065-1008-4e7d-9ff1-6d384c2a3655,986.374375,24.18,53.30175799999999,28.579472,77.232895,117.0,205.0,267.0
1849,1849,2020-10-25 01:06:49+05:30,00000000078e6811,1ef2db61-77a7-4de2-b280-42564e809cce,986.382656,24.2,53.272461,28.579468,77.232895,118.0,196.0,258.0
1850,1850,2020-10-25 01:06:52+05:30,00000000078e6811,fb83dac7-52c1-4f20-b8f1-d6aa1a16e452,986.328906,24.21,53.251953,28.579468,77.232895,117.0,201.0,256.0
1853,1853,2020-10-25 01:06:55+05:30,00000000078e6811,1a752adc-7102-4c06-9d40-7f7c8f633047,986.027656,24.03,53.220703,28.579468,77.232887,117.0,205.0,268.0
1856,1856,2020-10-25 01:06:58+05:30,00000000078e6811,168e437b-bfc7-4b0f-8d0e-6c5f51695f95,986.346875,24.22,53.25488299999999,28.579464,77.232887,116.0,205.0,271.0
1858,1858,2020-10-25 01:07:01+05:30,00000000078e6811,201ecfb3-0192-4db8-8078-63b45a6c0fbf,986.357969,24.24,53.235352,28.57946,77.232887,116.0,213.0,286.0
1861,1861,2020-10-25 01:07:04+05:30,00000000078e6811,eb095665-7fad-41d6-814f-6f0d8bf39d36,986.330312,24.24,53.171875,28.579456,77.232887,117.0,215.0,287.0
1864,1864,2020-10-25 01:07:10+05:30,00000000078e6811,7f869b2c-0a2a-40c1-abd4-66f70340a2a9,986.3525,24.26,53.142578,28.579443,77.232887,117.0,215.0,276.0
1868,1868,2020-10-25 01:07:16+05:30,00000000078e6811,e5a999fe-e3fe-4bb1-8645-534036a6bbc1,986.341563,24.28,53.08203100000001,28.579428000000004,77.232887,116.0,208.0,272.0
1870,1870,2020-10-25 01:07:19+05:30,00000000078e6811,bb289e9e-a298-4c30-a348-cfeeb11f208e,986.276719,24.23,53.034180000000006,28.579418,77.232895,114.0,207.0,276.0
1872,1872,2020-10-25 01:07:22+05:30,00000000078e6811,f238778e-936c-4a76-b643-895d13ae80e4,986.333125,24.29,52.999023,28.579411,77.232895,115.0,208.0,282.0
1874,1874,2020-10-25 01:07:25+05:30,00000000078e6811,5d245a8a-6a78-4131-83be-a17a9793996d,986.340234,24.3,52.98925799999999,28.579414,77.232895,115.0,207.0,276.0
1876,1876,2020-10-25 01:07:28+05:30,00000000078e6811,65d5637f-d375-45cd-902e-a0f88fa37d88,986.347188,24.3,52.947266000000006,28.579418,77.232895,116.0,202.0,254.0
1878,1878,2020-10-25 01:07:31+05:30,00000000078e6811,9dc384a2-8967-46ef-8d8a-101e9dbeccc7,986.329062,24.31,52.958984,28.579414,77.23290300000002,117.0,203.0,247.0
1880,1880,2020-10-25 01:07:34+05:30,00000000078e6811,ca5651c8-238a-424f-ac8c-c3f157eb3fbf,986.265625,24.29,52.924805000000006,28.579411,77.23290300000002,116.0,196.0,245.0
1882,1882,2020-10-25 01:07:37+05:30,00000000078e6811,345187f2-32d2-4379-8e2f-a248482d1250,986.344297,24.33,52.887695,28.579399,77.23291,118.0,197.0,243.0
